date,open,high,low,close,diff,volume
2020-08-07,10100.0,10115.0,10080.0,10090.0,80.0,83362.0
2020-08-10,10140.0,10155.0,10120.0,10145.0,55.0,208670.0
2020-08-11,10145.0,10180.0,10135.0,10160.0,15.0,136860.0
2020-08-12,10090.0,10115.0,10060.0,10105.0,55.0,111057.0
2020-08-13,10180.0,10185.0,10145.0,10160.0,55.0,78790.0
2020-08-14,10200.0,10215.0,10175.0,10200.0,40.0,63323.0
2020-08-18,10225.0,10235.0,10210.0,10210.0,10.0,110703.0
2020-08-19,10220.0,10240.0,10200.0,10215.0,5.0,64896.0
2020-08-20,10160.0,10165.0,10120.0,10145.0,70.0,57664.0
2020-08-21,10250.0,10255.0,10230.0,10245.0,100.0,49410.0
2020-08-24,10325.0,10335.0,10280.0,10330.0,85.0,126122.0
2020-08-25,10410.0,10425.0,10385.0,10410.0,80.0,167765.0
2020-08-26,10550.0,10550.0,10395.0,10400.0,10.0,182717.0
2020-08-27,10510.0,10740.0,10480.0,10485.0,85.0,160162.0
2020-08-28,10530.0,10585.0,10530.0,10580.0,95.0,110189.0
2020-08-31,10615.0,10640.0,10560.0,10640.0,60.0,148336.0
2020-09-01,10585.0,10585.0,10555.0,10565.0,75.0,186100.0
2020-09-02,10655.0,10705.0,10655.0,10690.0,125.0,102707.0
2020-09-03,10800.0,10840.0,10800.0,10815.0,125.0,179699.0
2020-09-04,10465.0,10480.0,10405.0,10440.0,375.0,205279.0
2020-09-07,10450.0,10475.0,10275.0,10275.0,165.0,154449.0
2020-09-08,10405.0,10415.0,10360.0,10400.0,125.0,153806.0
2020-09-09,10075.0,10150.0,10050.0,10090.0,310.0,205324.0
2020-09-10,10300.0,10300.0,10230.0,10290.0,200.0,120435.0
2020-09-11,10130.0,10190.0,10120.0,10180.0,110.0,75652.0
2020-09-14,10170.0,10200.0,10150.0,10195.0,15.0,82417.0
2020-09-15,10220.0,10230.0,10175.0,10215.0,20.0,124094.0
2020-09-16,10235.0,10250.0,10215.0,10220.0,5.0,106820.0
2020-09-17,10165.0,10165.0,9955.0,9955.0,265.0,242868.0
2020-09-18,10000.0,10025.0,9920.0,9960.0,5.0,147924.0
2020-09-21,9885.0,9885.0,9750.0,9770.0,190.0,165595.0
2020-09-22,9770.0,9785.0,9705.0,9720.0,50.0,103188.0
2020-09-23,9800.0,9860.0,9800.0,9835.0,115.0,155577.0
2020-09-24,9645.0,9675.0,9600.0,9650.0,185.0,178000.0
2020-09-25,9715.0,9755.0,9705.0,9730.0,80.0,78290.0
2020-09-28,9890.0,9945.0,9860.0,9945.0,215.0,102249.0
