date,open,high,low,close,diff,volume
2017-11-13,9575.0,9590.0,9545.0,9590.0,55.0,34675.0
2017-11-14,9600.0,9600.0,9570.0,9590.0,0.0,19079.0
2017-11-15,9590.0,9620.0,9590.0,9620.0,30.0,31120.0
2017-11-16,9600.0,9600.0,9570.0,9575.0,45.0,14562.0
2017-11-17,9575.0,9635.0,9575.0,9630.0,55.0,30154.0
2017-11-20,9685.0,9690.0,9660.0,9685.0,55.0,97969.0
2017-11-21,9685.0,9685.0,9575.0,9580.0,105.0,48918.0
2017-11-22,9595.0,9615.0,9580.0,9615.0,35.0,35211.0
2017-11-23,9655.0,9680.0,9650.0,9675.0,60.0,41660.0
2017-11-24,9685.0,9685.0,9655.0,9660.0,15.0,14070.0
2017-11-27,9655.0,9680.0,9630.0,9680.0,20.0,57097.0
2017-11-28,9675.0,9715.0,9675.0,9695.0,15.0,26075.0
2017-11-29,9705.0,9720.0,9680.0,9695.0,0.0,50864.0
2017-11-30,9630.0,9640.0,9605.0,9620.0,75.0,24308.0
2017-12-01,9570.0,9575.0,9550.0,9570.0,50.0,54127.0
2017-12-04,9555.0,9560.0,9530.0,9555.0,15.0,33791.0
2017-12-05,9570.0,9575.0,9545.0,9560.0,5.0,16172.0
2017-12-06,9505.0,9505.0,9470.0,9485.0,75.0,54936.0
2017-12-07,9475.0,9475.0,9435.0,9445.0,40.0,16644.0
2017-12-08,9350.0,9365.0,9340.0,9360.0,85.0,37717.0
2017-12-11,9360.0,9365.0,9335.0,9365.0,5.0,46126.0
2017-12-12,9315.0,9330.0,9305.0,9330.0,35.0,50479.0
2017-12-13,9320.0,9325.0,9305.0,9310.0,20.0,20992.0
2017-12-14,9390.0,9430.0,9380.0,9430.0,120.0,19963.0
2017-12-15,9405.0,9420.0,9385.0,9420.0,10.0,17134.0
2017-12-18,9375.0,9420.0,9365.0,9420.0,0.0,60414.0
2017-12-19,9430.0,9470.0,9425.0,9470.0,50.0,30237.0
2017-12-20,9460.0,9475.0,9440.0,9475.0,5.0,14229.0
