date,open,high,low,close,diff,volume
2017-11-13,101110.0,101110.0,101080.0,101080.0,0.0,1079.0
2017-11-14,101070.0,101090.0,101070.0,101075.0,5.0,13490.0
2017-11-15,101080.0,101085.0,101075.0,101075.0,0.0,12668.0
2017-11-16,101085.0,101090.0,101085.0,101085.0,10.0,2897.0
2017-11-17,101105.0,101105.0,101055.0,101085.0,0.0,13067.0
2017-11-20,101055.0,101095.0,101055.0,101095.0,10.0,13521.0
2017-11-21,101100.0,101100.0,101090.0,101095.0,0.0,13540.0
2017-11-22,101100.0,101105.0,101100.0,101100.0,5.0,10804.0
2017-11-23,101075.0,101115.0,101075.0,101110.0,10.0,2580.0
2017-11-24,101065.0,101120.0,101065.0,101115.0,5.0,908.0
2017-11-27,101120.0,101120.0,101115.0,101115.0,0.0,14190.0
2017-11-28,101120.0,101125.0,101120.0,101120.0,5.0,2061.0
2017-11-29,101125.0,101130.0,101125.0,101125.0,5.0,2183.0
2017-11-30,101095.0,101140.0,101095.0,101135.0,10.0,92160.0
2017-12-01,101145.0,101145.0,101140.0,101145.0,10.0,18531.0
2017-12-04,101145.0,101150.0,101145.0,101145.0,0.0,3165.0
2017-12-05,101105.0,101155.0,101105.0,101155.0,10.0,2684.0
2017-12-06,101120.0,101155.0,101120.0,101150.0,5.0,2188.0
2017-12-07,101150.0,101175.0,101150.0,101175.0,25.0,11319.0
2017-12-08,101170.0,101175.0,101170.0,101175.0,0.0,892.0
2017-12-11,101175.0,101180.0,101175.0,101175.0,0.0,41.0
2017-12-12,101145.0,101180.0,101145.0,101180.0,5.0,2081.0
2017-12-13,101185.0,101190.0,101185.0,101190.0,10.0,4207.0
2017-12-14,101195.0,101200.0,101195.0,101200.0,10.0,2557.0
2017-12-15,101200.0,101205.0,101200.0,101200.0,0.0,1094.0
2017-12-18,101210.0,101210.0,101205.0,101210.0,10.0,119.0
2017-12-19,101210.0,101210.0,101205.0,101205.0,5.0,13400.0
2017-12-20,101215.0,101215.0,101210.0,101215.0,10.0,32094.0
2017-12-21,101235.0,101235.0,101230.0,101230.0,15.0,4570.0
2017-12-22,101230.0,101235.0,101225.0,101225.0,5.0,11475.0
2017-12-26,101240.0,101240.0,101235.0,101240.0,15.0,18763.0
2017-12-27,100030.0,100035.0,100030.0,100035.0,20.0,7388.0
2017-12-28,100035.0,100035.0,100030.0,100030.0,5.0,2831.0
2018-01-02,99990.0,100045.0,99990.0,100045.0,15.0,2831.0
2018-01-03,100015.0,100050.0,100015.0,100050.0,5.0,6243.0
2018-01-04,100060.0,100065.0,100060.0,100065.0,15.0,2377.0
2018-01-05,100065.0,100070.0,100065.0,100065.0,0.0,46379.0
