date,open,high,low,close,diff,volume
2020-08-07,10030.0,10045.0,9970.0,10010.0,10.0,122948.0
2020-08-10,10010.0,10050.0,10005.0,10035.0,25.0,207014.0
2020-08-11,10045.0,10055.0,10030.0,10045.0,10.0,81106.0
2020-08-12,9985.0,10010.0,9945.0,10005.0,40.0,66343.0
2020-08-13,10090.0,10090.0,10045.0,10055.0,50.0,159153.0
2020-08-14,10110.0,10110.0,10070.0,10095.0,40.0,216730.0
2020-08-18,10125.0,10130.0,10090.0,10090.0,5.0,78561.0
2020-08-19,10105.0,10135.0,10090.0,10110.0,20.0,84389.0
2020-08-20,10055.0,10060.0,10010.0,10050.0,60.0,79534.0
2020-08-21,10105.0,10150.0,10105.0,10135.0,85.0,67967.0
2020-08-24,10190.0,10230.0,10190.0,10225.0,90.0,156519.0
2020-08-25,10320.0,10320.0,10270.0,10300.0,75.0,391620.0
2020-08-26,10315.0,10325.0,10295.0,10310.0,10.0,96101.0
2020-08-27,10370.0,11000.0,10370.0,10375.0,65.0,110482.0
2020-08-28,10430.0,10475.0,10420.0,10470.0,95.0,100488.0
2020-08-31,10475.0,10520.0,10455.0,10520.0,50.0,180479.0
2020-09-01,10475.0,10475.0,10435.0,10445.0,75.0,83054.0
2020-09-02,10560.0,10585.0,10550.0,10575.0,130.0,109163.0
2020-09-03,10695.0,10720.0,10680.0,10700.0,125.0,110358.0
2020-09-04,10285.0,10365.0,10280.0,10330.0,370.0,121345.0
2020-09-07,10205.0,10230.0,10165.0,10165.0,165.0,59581.0
2020-09-08,10260.0,10300.0,10250.0,10290.0,125.0,80959.0
2020-09-09,9840.0,10145.0,9840.0,9975.0,315.0,105646.0
2020-09-10,10190.0,10190.0,10110.0,10170.0,195.0,76163.0
2020-09-11,10000.0,10075.0,10000.0,10070.0,100.0,94933.0
2020-09-14,10085.0,10085.0,10030.0,10075.0,5.0,31632.0
2020-09-15,10080.0,10105.0,10060.0,10095.0,20.0,36158.0
2020-09-16,10095.0,10130.0,10085.0,10105.0,10.0,36483.0
2020-09-17,10055.0,10055.0,9850.0,9850.0,255.0,76419.0
2020-09-18,9885.0,9900.0,9810.0,9845.0,5.0,46557.0
2020-09-21,9780.0,9780.0,9640.0,9655.0,190.0,443265.0
2020-09-22,9655.0,9675.0,9600.0,9610.0,45.0,331704.0
2020-09-23,9720.0,9745.0,9685.0,9725.0,115.0,271023.0
2020-09-24,9520.0,9565.0,9490.0,9540.0,185.0,342772.0
2020-09-25,9620.0,9645.0,9600.0,9620.0,80.0,257017.0
2020-09-28,9780.0,9830.0,9755.0,9830.0,210.0,245796.0
2020-09-29,9955.0,9955.0,9895.0,9915.0,85.0,245778.0
2020-10-05,9890.0,9910.0,9860.0,9870.0,45.0,244226.0
2020-10-06,9925.0,9970.0,9910.0,9950.0,80.0,224432.0
2020-10-07,9820.0,9860.0,9820.0,9850.0,100.0,234482.0
2020-10-08,9985.0,10000.0,9945.0,9980.0,130.0,260635.0
