date,open,high,low,close,diff,volume
2017-11-15,100230.0,100230.0,100230.0,100230.0,5.0,5.0
2017-11-16,100180.0,100250.0,100180.0,100250.0,20.0,8.0
2017-11-17,100250.0,100255.0,100250.0,100250.0,0.0,9.0
2017-11-20,100260.0,100265.0,100260.0,100265.0,15.0,73.0
2017-11-21,100275.0,100275.0,100270.0,100270.0,5.0,5.0
2017-11-22,100280.0,100285.0,100275.0,100280.0,10.0,43.0
2017-11-23,100295.0,100295.0,100290.0,100295.0,15.0,5.0
2017-11-24,100300.0,100300.0,100295.0,100295.0,0.0,15.0
2017-11-27,100295.0,100295.0,100290.0,100295.0,0.0,206.0
2017-11-28,100300.0,100310.0,100300.0,100310.0,15.0,5.0
2017-11-29,100315.0,100340.0,100315.0,100320.0,10.0,5032.0
2017-11-30,100340.0,100365.0,100340.0,100365.0,45.0,1143.0
2017-12-01,100370.0,100375.0,100360.0,100365.0,0.0,6.0
2017-12-04,100385.0,100390.0,100385.0,100390.0,25.0,625.0
2017-12-05,100400.0,100400.0,100395.0,100395.0,5.0,5.0
2017-12-06,100395.0,100400.0,100390.0,100400.0,5.0,222.0
2017-12-07,100415.0,100420.0,100415.0,100420.0,20.0,5.0
2017-12-08,100425.0,100430.0,100425.0,100430.0,10.0,5.0
2017-12-11,100435.0,100440.0,100435.0,100440.0,10.0,5.0
2017-12-12,100450.0,100460.0,100450.0,100455.0,15.0,1207.0
2017-12-13,100465.0,100470.0,100460.0,100465.0,10.0,198.0
2017-12-14,100480.0,100480.0,100470.0,100470.0,5.0,5.0
2017-12-15,100465.0,100465.0,100460.0,100465.0,5.0,5.0
2017-12-18,100460.0,100460.0,100450.0,100450.0,15.0,5.0
2017-12-19,100450.0,100455.0,100445.0,100445.0,5.0,6.0
2017-12-20,100460.0,100475.0,100460.0,100465.0,20.0,7.0
2017-12-21,100485.0,100485.0,100480.0,100485.0,20.0,6.0
2017-12-22,100480.0,100480.0,100450.0,100455.0,30.0,5.0
2017-12-26,100470.0,100470.0,100455.0,100470.0,15.0,1605.0
2017-12-27,100040.0,100040.0,100030.0,100035.0,15.0,5.0
2017-12-28,100035.0,100045.0,100035.0,100045.0,10.0,1812.0
2018-01-02,100065.0,100080.0,100065.0,100080.0,35.0,5.0
2018-01-03,100095.0,100105.0,100095.0,100100.0,20.0,1014.0
2018-01-04,100120.0,100120.0,100120.0,100120.0,20.0,5.0
2018-01-05,100130.0,100135.0,100125.0,100135.0,15.0,5.0
2018-01-08,100145.0,100145.0,100135.0,100140.0,5.0,5.0
2018-01-09,100145.0,100145.0,100145.0,100145.0,5.0,5.0
2018-01-10,100145.0,100145.0,100140.0,100140.0,5.0,5.0
2018-01-11,100150.0,100160.0,100150.0,100155.0,15.0,5.0
2018-01-12,100160.0,100160.0,100160.0,100160.0,5.0,5.0
2018-01-15,100165.0,100165.0,100160.0,100160.0,0.0,5.0
2018-01-16,100145.0,100145.0,100145.0,100145.0,15.0,5.0
2018-01-17,100145.0,100155.0,100140.0,100155.0,10.0,23075.0
2018-01-18,100170.0,100185.0,100170.0,100185.0,30.0,5.0
2018-01-19,100195.0,100200.0,100195.0,100200.0,15.0,5.0
2018-01-22,100210.0,100210.0,100205.0,100210.0,10.0,5.0
2018-01-23,100215.0,100220.0,100195.0,100220.0,10.0,119521.0
2018-01-24,100235.0,100235.0,100200.0,100230.0,10.0,55505.0
2018-01-25,100235.0,100240.0,100235.0,100240.0,10.0,5.0
2018-01-26,100230.0,100230.0,100230.0,100230.0,10.0,7.0
2018-01-29,100235.0,100235.0,100205.0,100215.0,15.0,7.0
2018-01-30,100205.0,100205.0,100190.0,100205.0,10.0,3905.0
2018-01-31,100215.0,100215.0,100210.0,100215.0,10.0,7.0
2018-02-01,100235.0,100240.0,100235.0,100240.0,25.0,5.0
2018-02-02,100240.0,100250.0,100230.0,100250.0,10.0,59516.0
2018-02-05,100260.0,100260.0,100255.0,100260.0,10.0,5.0
