date,open,high,low,close,diff,volume
2020-11-06,10140.0,10545.0,10005.0,10005.0,105.0,559578.0
2020-11-09,10225.0,10320.0,10190.0,10255.0,250.0,497779.0
2020-11-10,9900.0,9905.0,9735.0,9760.0,495.0,627363.0
2020-11-11,9660.0,9705.0,9630.0,9665.0,95.0,303275.0
2020-11-12,9875.0,9875.0,9790.0,9840.0,175.0,185327.0
2020-11-13,10165.0,10175.0,9815.0,9875.0,35.0,211235.0
2020-11-16,10000.0,10000.0,9920.0,9950.0,75.0,256893.0
2020-11-17,9955.0,9965.0,9895.0,9920.0,30.0,228870.0
2020-11-18,9885.0,9890.0,9825.0,9825.0,95.0,201169.0
2020-11-19,9825.0,9890.0,9820.0,9885.0,60.0,327723.0
2020-11-20,9945.0,9970.0,9920.0,9955.0,70.0,252783.0
2020-11-23,9920.0,9920.0,9890.0,9890.0,65.0,585681.0
2020-11-24,9925.0,9925.0,9890.0,9900.0,10.0,701621.0
2020-11-25,10015.0,10050.0,9980.0,10000.0,100.0,679574.0
2020-11-26,10055.0,10075.0,10030.0,10040.0,40.0,414273.0
2020-11-27,10030.0,10035.0,9995.0,10030.0,10.0,460138.0
2020-11-30,10135.0,10135.0,10055.0,10060.0,30.0,588158.0
2020-12-01,10200.0,10235.0,10185.0,10210.0,150.0,399411.0
2020-12-02,10265.0,10265.0,10185.0,10210.0,0.0,509880.0
2020-12-03,10210.0,10235.0,10195.0,10200.0,10.0,354691.0
2020-12-04,10205.0,10205.0,10085.0,10085.0,115.0,403428.0
2020-12-07,10090.0,10135.0,10090.0,10105.0,20.0,168650.0
2020-12-08,10215.0,10220.0,10145.0,10175.0,70.0,161902.0
2020-12-09,10215.0,10245.0,10190.0,10220.0,45.0,161242.0
2020-12-10,10020.0,10045.0,9970.0,10005.0,215.0,344140.0
2020-12-11,10070.0,10100.0,10030.0,10065.0,60.0,170379.0
2020-12-14,10095.0,10110.0,10080.0,10090.0,25.0,79626.0
2020-12-15,10150.0,10170.0,10130.0,10140.0,50.0,51639.0
2020-12-16,10190.0,10285.0,10190.0,10280.0,140.0,73971.0
2020-12-17,10315.0,10350.0,10315.0,10345.0,65.0,86607.0
2020-12-18,10400.0,10435.0,10400.0,10435.0,90.0,59572.0
2020-12-21,10470.0,10505.0,10430.0,10500.0,65.0,65406.0
2020-12-22,10460.0,10500.0,10455.0,10465.0,35.0,71823.0
2020-12-23,10500.0,10515.0,10450.0,10495.0,30.0,57707.0
2020-12-24,10440.0,10445.0,10395.0,10400.0,95.0,184727.0
2020-12-28,10400.0,10500.0,10400.0,10445.0,45.0,176795.0
2020-12-29,10465.0,10540.0,10465.0,10500.0,55.0,48267.0
2020-12-30,10475.0,10475.0,10430.0,10450.0,50.0,81241.0
2021-01-04,10420.0,10425.0,10370.0,10400.0,50.0,91131.0
2021-01-05,10290.0,10305.0,10265.0,10300.0,100.0,215926.0
2021-01-06,10360.0,10400.0,10200.0,10260.0,40.0,233872.0
2021-01-07,10240.0,10335.0,10240.0,10310.0,50.0,82743.0
2021-01-08,10600.0,10620.0,10410.0,10545.0,235.0,206713.0
2021-01-11,10650.0,10695.0,10650.0,10665.0,120.0,782851.0
2021-01-12,10590.0,10610.0,10560.0,10600.0,65.0,1315968.0
2021-01-13,10535.0,10560.0,10515.0,10550.0,50.0,1232272.0
2021-01-14,10605.0,10665.0,10605.0,10605.0,55.0,838360.0
2021-01-15,10565.0,10570.0,10500.0,10525.0,80.0,1233881.0
2021-01-18,10500.0,10525.0,10490.0,10520.0,5.0,692368.0
2021-01-19,10545.0,10635.0,10545.0,10625.0,105.0,634336.0
2021-01-20,10700.0,10715.0,10670.0,10715.0,90.0,698117.0
2021-01-21,10915.0,10980.0,10890.0,10940.0,225.0,427120.0
2021-01-22,10980.0,11010.0,10955.0,10985.0,45.0,379425.0
2021-01-25,11045.0,11090.0,11025.0,11045.0,60.0,336296.0
2021-01-26,11060.0,11065.0,11010.0,11040.0,5.0,755698.0
2021-01-27,11135.0,11165.0,11130.0,11155.0,115.0,495315.0
2021-01-28,10750.0,10885.0,10735.0,10885.0,270.0,533580.0
2021-01-29,10925.0,11545.0,10785.0,10830.0,55.0,796727.0
2021-02-01,10680.0,10810.0,10655.0,10785.0,45.0,504083.0
2021-02-02,11045.0,11110.0,11015.0,11085.0,300.0,436081.0
2021-02-03,11220.0,11260.0,11190.0,11255.0,170.0,791361.0
2021-02-04,11160.0,11180.0,11135.0,11170.0,85.0,614927.0
2021-02-05,11480.0,11480.0,11235.0,11400.0,230.0,627768.0
2021-02-08,11365.0,11420.0,11350.0,11415.0,15.0,532321.0
2021-02-09,11400.0,11405.0,11355.0,11385.0,30.0,611459.0
2021-02-10,11340.0,11380.0,11330.0,11340.0,45.0,437353.0
2021-02-15,11385.0,11410.0,11365.0,11365.0,25.0,471604.0
2021-02-16,11380.0,11410.0,11365.0,11390.0,25.0,510657.0
2021-02-17,11350.0,11370.0,11315.0,11370.0,20.0,461342.0
2021-02-18,11295.0,11300.0,11210.0,11265.0,105.0,587948.0
2021-02-19,11240.0,11240.0,11180.0,11225.0,40.0,373429.0
2021-02-22,11335.0,11335.0,11170.0,11185.0,40.0,616671.0
2021-02-23,10965.0,11105.0,10935.0,11010.0,175.0,598596.0
2021-02-24,10875.0,10950.0,10810.0,10810.0,200.0,634948.0
2021-02-25,11150.0,11150.0,10965.0,11005.0,195.0,783935.0
2021-02-26,10800.0,10800.0,10590.0,10685.0,320.0,610488.0
2021-03-02,11055.0,11095.0,11040.0,11080.0,395.0,1320107.0
2021-03-03,10965.0,10995.0,10935.0,10975.0,105.0,721484.0
2021-03-04,10795.0,10795.0,10515.0,10570.0,405.0,687974.0
2021-03-05,10420.0,10475.0,10375.0,10440.0,130.0,412093.0
2021-03-08,10780.0,10860.0,10400.0,10580.0,140.0,579929.0
2021-03-09,10490.0,10585.0,10485.0,10535.0,45.0,714833.0
2021-03-10,10850.0,10865.0,10800.0,10840.0,305.0,703958.0
2021-03-11,10805.0,10880.0,10800.0,10875.0,35.0,329655.0
2021-03-12,11115.0,11115.0,10950.0,10955.0,80.0,284590.0
2021-03-15,10955.0,10980.0,10915.0,10915.0,40.0,290691.0
2021-03-16,11005.0,11090.0,11005.0,11050.0,135.0,233579.0
