date,open,high,low,close,diff,volume
2020-10-29,9835.0,9845.0,9780.0,9845.0,245.0,370348.0
2020-10-30,9795.0,9795.0,9640.0,9685.0,160.0,338478.0
2020-11-02,9645.0,9695.0,9625.0,9680.0,5.0,608452.0
2020-11-03,9690.0,9740.0,9680.0,9710.0,30.0,763337.0
2020-11-04,9840.0,10300.0,9820.0,10125.0,415.0,1099908.0
2020-11-05,10285.0,10445.0,10230.0,10360.0,235.0,1435325.0
2020-11-06,10460.0,10460.0,10325.0,10325.0,35.0,741041.0
2020-11-09,10525.0,10655.0,10525.0,10585.0,260.0,861082.0
2020-11-10,10225.0,10230.0,10050.0,10080.0,505.0,1280460.0
2020-11-11,9980.0,10025.0,9945.0,9980.0,100.0,843570.0
2020-11-12,10190.0,10195.0,10115.0,10175.0,195.0,368710.0
2020-11-13,9865.0,10195.0,9855.0,10195.0,20.0,762939.0
2020-11-16,10300.0,10300.0,10250.0,10275.0,80.0,528705.0
2020-11-17,10290.0,10290.0,10220.0,10240.0,35.0,500819.0
2020-11-18,10210.0,10210.0,10140.0,10140.0,100.0,618884.0
2020-11-19,10120.0,10210.0,10120.0,10205.0,65.0,302354.0
2020-11-20,10250.0,10295.0,10240.0,10285.0,80.0,346990.0
2020-11-23,10250.0,10250.0,10220.0,10220.0,65.0,493767.0
2020-11-24,10250.0,10255.0,10220.0,10240.0,20.0,342276.0
2020-11-25,10340.0,10380.0,10310.0,10340.0,100.0,435705.0
2020-11-26,10370.0,10400.0,10360.0,10370.0,30.0,380471.0
2020-11-27,10360.0,10360.0,10320.0,10355.0,15.0,318486.0
2020-11-30,10455.0,10475.0,10385.0,10390.0,35.0,435222.0
2020-12-01,10510.0,10565.0,10510.0,10545.0,155.0,155654.0
2020-12-02,10595.0,10600.0,10525.0,10545.0,0.0,299673.0
2020-12-03,10545.0,10570.0,10525.0,10550.0,5.0,218556.0
2020-12-04,10560.0,10570.0,10400.0,10410.0,140.0,413745.0
2020-12-07,10445.0,10465.0,10410.0,10425.0,15.0,218416.0
2020-12-08,10420.0,10500.0,10420.0,10500.0,75.0,335363.0
2020-12-09,10570.0,10575.0,10520.0,10550.0,50.0,387578.0
2020-12-10,10350.0,10350.0,10300.0,10335.0,215.0,692718.0
2020-12-11,10405.0,10415.0,10340.0,10390.0,55.0,281585.0
2020-12-14,10425.0,10435.0,10395.0,10420.0,30.0,371074.0
2020-12-15,10500.0,10500.0,10460.0,10475.0,55.0,308296.0
2020-12-16,10560.0,10630.0,10530.0,10625.0,150.0,314175.0
2020-12-17,10655.0,10695.0,10655.0,10695.0,70.0,375991.0
2020-12-18,10735.0,10780.0,10735.0,10770.0,75.0,364158.0
2020-12-21,10805.0,10870.0,10770.0,10845.0,75.0,501180.0
2020-12-22,10800.0,10815.0,10750.0,10760.0,85.0,458904.0
2020-12-23,10860.0,10865.0,10790.0,10845.0,85.0,340969.0
2020-12-24,10780.0,10790.0,10750.0,10760.0,85.0,486216.0
2020-12-28,10800.0,10830.0,10775.0,10800.0,40.0,392923.0
2020-12-29,10895.0,10895.0,10845.0,10860.0,60.0,399644.0
2020-12-30,10865.0,10870.0,10780.0,10800.0,60.0,550952.0
2021-01-04,10760.0,10770.0,10705.0,10740.0,60.0,593051.0
2021-01-05,10625.0,10645.0,10595.0,10635.0,105.0,533082.0
2021-01-06,10655.0,10745.0,10530.0,10590.0,45.0,621515.0
2021-01-07,10560.0,10675.0,10560.0,10650.0,60.0,411109.0
2021-01-08,10785.0,10960.0,10785.0,10890.0,240.0,440304.0
2021-01-11,11000.0,11045.0,11000.0,11010.0,120.0,477349.0
2021-01-12,10950.0,10955.0,10910.0,10945.0,65.0,203390.0
