date,open,high,low,close,diff,volume
2019-07-04,10110.0,10110.0,10100.0,10105.0,30.0,400613.0
2019-07-05,10105.0,10120.0,10105.0,10115.0,10.0,362374.0
2019-07-08,10130.0,10130.0,10085.0,10130.0,15.0,5030.0
2019-07-09,10110.0,10155.0,10105.0,10110.0,20.0,37933.0
2019-07-10,10110.0,10120.0,10105.0,10110.0,0.0,10920.0
2019-07-11,10120.0,10135.0,10105.0,10110.0,0.0,7371.0
2019-07-12,10115.0,10125.0,10090.0,10125.0,15.0,56542.0
2019-07-15,10135.0,10140.0,10120.0,10130.0,5.0,21954.0
2019-07-16,10150.0,10150.0,10130.0,10135.0,5.0,8274.0
2019-07-17,10160.0,10160.0,10100.0,10135.0,0.0,25816.0
2019-07-18,10120.0,10145.0,10100.0,10135.0,0.0,30188.0
2019-07-19,10115.0,10145.0,10110.0,10145.0,10.0,28097.0
2019-07-22,10150.0,10155.0,10135.0,10150.0,5.0,14137.0
2019-07-23,10150.0,10155.0,10140.0,10150.0,0.0,57723.0
2019-07-24,10175.0,10175.0,10150.0,10170.0,20.0,26540.0
2019-07-25,10175.0,10205.0,10170.0,10205.0,35.0,27360.0
2019-07-26,10200.0,10210.0,10180.0,10205.0,0.0,25336.0
2019-07-29,10215.0,10220.0,10210.0,10215.0,10.0,10451.0
2019-07-30,10215.0,10215.0,10200.0,10215.0,0.0,64308.0
2019-07-31,10180.0,10205.0,10180.0,10205.0,10.0,59267.0
2019-08-01,10235.0,10235.0,10175.0,10185.0,20.0,36285.0
2019-08-02,10200.0,10205.0,10175.0,10205.0,20.0,42355.0
2019-08-05,10205.0,10225.0,10155.0,10205.0,0.0,10024.0
2019-08-06,10175.0,10185.0,10135.0,10185.0,20.0,62589.0
2019-08-07,10195.0,10200.0,10180.0,10195.0,10.0,57566.0
2019-08-08,10195.0,10215.0,10165.0,10210.0,15.0,48382.0
2019-08-09,10235.0,10240.0,10210.0,10225.0,15.0,63280.0
2019-08-12,10235.0,10250.0,10220.0,10245.0,20.0,26746.0
2019-08-13,10230.0,10235.0,10210.0,10230.0,15.0,84606.0
2019-08-14,10205.0,10220.0,10185.0,10220.0,10.0,62962.0
2019-08-16,10180.0,10225.0,10180.0,10210.0,10.0,55319.0
2019-08-19,10240.0,10250.0,10205.0,10250.0,40.0,17387.0
2019-08-20,10255.0,10430.0,10230.0,10255.0,5.0,55527.0
