date,open,high,low,close,diff,volume
2017-11-15,33390.0,33390.0,33180.0,33220.0,205.0,6057621.0
2017-11-16,33300.0,33500.0,33225.0,33435.0,215.0,8349290.0
2017-11-17,33605.0,33835.0,33425.0,33425.0,10.0,16551618.0
2017-11-20,33485.0,33545.0,33245.0,33280.0,145.0,16318516.0
2017-11-21,33410.0,33505.0,33300.0,33355.0,75.0,9555691.0
2017-11-22,33600.0,33735.0,33485.0,33560.0,205.0,13442803.0
2017-11-23,33610.0,33615.0,33445.0,33500.0,60.0,7849119.0
2017-11-24,33515.0,33570.0,33410.0,33570.0,70.0,8624880.0
2017-11-27,33595.0,33605.0,32965.0,33000.0,570.0,8342543.0
2017-11-28,33005.0,33175.0,32900.0,33090.0,90.0,9572220.0
2017-11-29,33140.0,33255.0,33045.0,33075.0,15.0,4785310.0
2017-11-30,32860.0,32975.0,32505.0,32535.0,540.0,7858593.0
2017-12-01,32630.0,32680.0,32465.0,32525.0,10.0,7732881.0
2017-12-04,32665.0,32870.0,32515.0,32870.0,345.0,7358038.0
2017-12-05,32700.0,33040.0,32645.0,32960.0,90.0,7183040.0
2017-12-06,32980.0,32980.0,32490.0,32490.0,470.0,8966652.0
2017-12-07,32575.0,32590.0,32270.0,32385.0,105.0,10300065.0
2017-12-08,32505.0,32570.0,32370.0,32485.0,100.0,10577846.0
2017-12-11,32530.0,32560.0,32375.0,32525.0,40.0,8601745.0
2017-12-12,32520.0,32550.0,32350.0,32415.0,110.0,9463306.0
2017-12-13,32480.0,32690.0,32360.0,32670.0,255.0,7450056.0
2017-12-14,32740.0,33150.0,32705.0,32705.0,35.0,7594713.0
2017-12-15,32820.0,32895.0,32585.0,32650.0,55.0,8519096.0
2017-12-18,32680.0,32740.0,32600.0,32690.0,40.0,5399373.0
2017-12-19,32815.0,32975.0,32615.0,32700.0,10.0,6007262.0
2017-12-20,32645.0,32775.0,32600.0,32610.0,90.0,7748979.0
2017-12-21,32530.0,32590.0,31975.0,31975.0,635.0,8563000.0
2017-12-22,32065.0,32205.0,31985.0,32130.0,155.0,8482482.0
2017-12-26,32200.0,32395.0,32000.0,32000.0,130.0,7603311.0
2017-12-27,32110.0,32375.0,32045.0,32375.0,375.0,12654745.0
