,069500,102110,102780,133690,148020,153130,182480,195930,196230,251350,261220,272560,278530,278540,292150,329750,360200,360750,367380,368590,cash,balance
2021-12-07,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,93,0,0,18265,1500000
