표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7300950003,300950,2018-07-24,1300000,0.45,16665.0,47312.0,21665.0,0.45
KR7279530000,279530,2017-10-17,3500000,0.3,10060.0,2697.0,35210.0,0.3
KR7102960002,102960,2008-05-29,2660000,0.45,5645.0,12377.0,15016.0,0.45
KR7266360007,266360,2017-03-28,2100000,0.45,25050.0,2540.0,52605.0,0.45
KR7244580007,244580,2016-05-13,2560000,0.45,12535.0,25060.0,32090.0,0.45
KR7091160002,91160,2006-06-27,6750000,0.45,37675.0,136158.0,254306.0,0.45
KR7325020006,325020,2019-05-31,13900000,0.3,13005.0,615.0,180770.0,0.3
KR7211900006,211900,2014-12-17,2100000,0.15,15245.0,1208.0,32015.0,0.15
KR7244670006,244670,2016-05-13,1200000,0.3,9340.0,50.0,11208.0,0.3
KR7102780004,102780,2008-05-21,132500000,0.25,9780.0,34548.0,1295850.0,0.25
KR7091170001,91170,2006-06-27,43000000,0.3,7520.0,682215.0,323360.0,0.3
KR7091180000,91180,2006-06-27,32500000,0.45,20660.0,176307.0,671450.0,0.45
KR7102970001,102970,2008-05-29,6900000,0.45,8045.0,25044.0,55511.0,0.45
KR7229200001,229200,2015-10-01,23650000,0.25,14710.0,790654.0,347892.0,0.25
KR7360150007,360150,2020-08-21,1500000,0.64,8950.0,0.0,13425.0,0.64
KR7226490001,226490,2015-08-24,12500000,0.15,29980.0,996.0,374750.0,0.15
KR7359210002,359210,2020-07-21,2400000,0.07,13770.0,32.0,33048.0,0.07
KR7337140008,337140,2019-11-14,2300000,0.15,13900.0,9.0,31970.0,0.15
KR7266410000,266410,2017-03-28,2600000,0.45,8445.0,2269.0,21957.0,0.45
KR7266420009,266420,2017-03-28,1800000,0.45,15840.0,1918.0,28512.0,0.45
KR7069500007,69500,2002-10-14,131350000,0.15,39400.0,2065164.0,5175190.0,0.15
KR7117700005,117700,2009-10-30,26500000,0.45,3450.0,188320.0,91425.0,0.45
KR7140700006,140700,2011-04-26,2700000,0.45,6455.0,21322.0,17429.0,0.45
KR7117460006,117460,2009-10-12,1050000,0.45,18545.0,4604.0,19472.0,0.45
KR7140710005,140710,2011-04-26,3200000,0.45,5715.0,25671.0,18288.0,0.45
KR7117680009,117680,2009-10-30,6650000,0.45,8395.0,79659.0,55827.0,0.45
