표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7360150007,360150,2020-08-21,1500000,0.64,9345.0,133.0,14018.0,0.64
KR7226490001,226490,2015-08-24,12600000,0.15,29800.0,45473.0,375480.0,0.15
KR7359210002,359210,2020-07-21,2400000,0.07,13735.0,140.0,32964.0,0.07
KR7337140008,337140,2019-11-14,2300000,0.15,13730.0,7248.0,31579.0,0.15
KR7266410000,266410,2017-03-28,2600000,0.45,8590.0,11509.0,22334.0,0.45
KR7266420009,266420,2017-03-28,1700000,0.45,16000.0,23986.0,27200.0,0.45
KR7069500007,69500,2002-10-14,135500000,0.15,38920.0,4195620.0,5273660.0,0.15
KR7117700005,117700,2009-10-30,26300000,0.45,3460.0,256607.0,90998.0,0.45
KR7140700006,140700,2011-04-26,2700000,0.45,6560.0,126311.0,17712.0,0.45
KR7140710005,140710,2011-04-26,3300000,0.45,5690.0,67465.0,18777.0,0.45
KR7117680009,117680,2009-10-30,6160000,0.45,8275.0,404904.0,50974.0,0.45
KR7295040000,295040,2018-04-23,18150000,0.05,13285.0,9989.0,241123.0,0.05
KR7294400007,294400,2018-04-23,11050000,0.012,46455.0,8853.0,513328.0,0.012
KR7069660009,69660,2002-10-14,16250000,0.13,38920.0,1627.0,632450.0,0.13
KR7100910009,100910,2008-01-23,1800000,0.23,6185.0,364.0,11133.0,0.23
KR7104520002,104520,2008-07-29,1200000,0.4,9940.0,567.0,11928.0,0.4
KR7316670009,316670,2019-01-22,2200000,0.15,7575.0,40396.0,16665.0,0.15
KR7332500008,332500,2019-08-28,14500000,0.03,23835.0,2131.0,345608.0,0.03
KR7143460004,143460,2011-06-21,2000000,0.15,9370.0,243.0,18740.0,0.15
KR7108450008,108450,2009-02-03,14800000,0.15,16300.0,30521.0,241240.0,0.15
KR7226380004,226380,2015-08-19,1200000,0.5,8390.0,2828.0,10068.0,0.5
KR7354500001,354500,2020-05-07,1800000,0.1,15345.0,26243.0,27621.0,0.1
KR7105190003,105190,2008-09-25,17300000,0.09,39185.0,265436.0,677901.0,0.09
KR7152100004,152100,2012-01-10,17800000,0.04,39595.0,128839.0,704791.0,0.04
KR7227830007,227830,2015-09-23,1850000,0.2,30420.0,267.0,56277.0,0.2
KR7251590006,251590,2016-08-11,1100000,0.23,11430.0,3331.0,12573.0,0.23
KR7161510003,161510,2012-08-29,16920000,0.23,12475.0,110473.0,211077.0,0.23
KR7328370002,328370,2019-06-25,6950000,0.15,14925.0,2211.0,103729.0,0.15
